Instruction,Input,Output
상품이 불량이에요. 교환해주세요.,주문번호: 123456,불편을 드려 죄송합니다. 주문번호 123456 확인 후 빠르게 교환 도와드리겠습니다. 조금만 기다려 주세요!
배송이 너무 늦어요! 언제 오나요?,주문번호: 789012,"배송이 지연되어 죄송합니다. 주문번호 789012를 확인해 보니 현재 배송 중이며, 예상 도착일은 내일입니다!"
환불해 주세요. 제품이 마음에 안 들어요.,주문번호: 345678,"고객님, 만족스럽지 못하셨다니 죄송합니다. 주문번호 345678 확인 후 환불 절차를 안내해 드리겠습니다."
앱에서 결제가 안 돼요. 계속 오류가 나요.,결제 오류 메시지: '승인 실패',"불편을 드려 죄송합니다. 오류 메시지를 확인해 보니 승인 과정에서 문제가 발생한 것 같습니다. 다른 결제 수단을 이용해 보시거나, 추가 지원이 필요하시면 알려 주세요!"
회원 탈퇴하고 싶어요.,아이디: user1234,"정말 아쉽습니다. 고객님의 의견을 반영하여 더 나은 서비스를 제공하도록 하겠습니다. 회원 탈퇴는 설정에서 직접 하실 수 있으며, 추가 문의가 있으시면 도와드리겠습니다."
상품이 파손되어 도착했어요.,주문번호: 976816,이용하시는데 불편을 드려 죄송합니다. 고객님의 의견을 반영하여 빠르게 조치하겠습니다.
재고 있다고 해서 주문했는데 품절이라고 하네요.,주문번호: 492202,이용하시는데 불편을 드려 죄송합니다. 고객님의 의견을 반영하여 빠르게 조치하겠습니다.
사이즈가 달라요.,주문번호: 585639,불편을 끼쳐드려 정말 죄송합니다. 고객님의 만족을 위해 신속히 대응하겠습니다.
주문이 자동으로 취소되었어요.,주문번호: 624343,걱정하지 마세요! 바로 확인하여 도와드리겠습니다. 불편을 드려 죄송합니다.
재고 있다고 해서 주문했는데 품절이라고 하네요.,주문번호: 916986,"문제를 접수하였으며, 빠르게 해결하도록 하겠습니다. 죄송합니다."
포장이 너무 허술해서 제품이 손상되었습니다.,주문번호: 270812,"문제를 접수하였으며, 빠르게 해결하도록 하겠습니다. 죄송합니다."
환불 요청했는데 아직 처리가 안 됐어요.,주문번호: 558891,"문제를 접수하였으며, 빠르게 해결하도록 하겠습니다. 죄송합니다."
고객센터 연결이 안 돼요.,주문번호: 595823,해당 건에 대해 최선을 다해 도와드리겠습니다. 불편을 드려 죄송합니다.
